id,name,type,desc,atk,def,level,attribute
62113340,Divine Dragon Ragnarok,Normal Monster,"A legendary dragon sent by the gods as their instrument. Legends say that if provoked, the whole world will sink beneath the sea.",1500,1000,4,LIGHT
90299015,Vampire Ghost,Effect Monster,"If this card is Normal Summoned: You can send 1 other ""Vampire"" card from your hand or face-up field to the GY; add 1 Level 4 or higher ""Vampire"" monster from your Deck to your hand, and if you do, send 1 Level 2 or lower ""Vampire"" monster from your Deck to the GY. During the Main Phase (Quick Effect): You can banish this card from your GY and pay 500 LP; immediately after this effect resolves, Normal Summon 1 ""Vampire"" monster. You can only use each effect of ""Vampire Ghost"" once per turn.",1500,0,3,DARK
83656563,Fossil Machine Skull Wagon,Fusion Monster,"1 Rock monster in your GY + 1 Level 5 or 6 monster
Must first be Special Summoned with ""Fossil Fusion"". This card can make up to 2 attacks on monsters during each Battle Phase. When this card destroys an opponent's monster by battle: You can inflict 800 damage to your opponent. You can banish this card from your GY, then target 1 Spell/Trap on the field; destroy it. You can only use this effect of ""Fossil Machine Skull Wagon"" once per turn.",1700,1500,6,EARTH
8581705,Infernalqueen Archfiend,Effect Monster,"The controller of this card pays 500 Life Points during each of his/her Standby Phases (this is not optional). When this card is targeted by the effect of a card controlled by your opponent, when resolving the effect, roll a six-sided die. If the result is 2 or 5, negate the effect and destroy the opponent's card. As long as this card remains on the field, during each Standby Phase, increase the ATK of 1 Archfiend Monster Card by 1000 points until the End Phase.",900,1500,4,FIRE
36006208,Fire Lake of the Burning Abyss,Trap Card,"Send 2 face-up ""Burning Abyss"" monsters you control to the Graveyard, then target up to 3 cards on the field; destroy those targets.",,,,TRAP
3643300,The Legendary Fisherman,Effect Monster,"While ""Umi"" is on the field, this card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",1850,1600,5,WATER
11760174,Sasuke Samurai #2,Effect Monster,"Once per turn, during your Main Phase, you can pay 800 Life Points. If you do this, until the End Phase, Spell and Trap Cards cannot be activated.",200,300,1,WIND
91749600,"Vala, Seidhr of the Generaider Bosses",Effect Monster,"You can only control 1 ""Vala, Seidhr of the Generaider Bosses"". You can only use each of the following effects of ""Vala, Seidhr of the Generaider Bosses"" once per turn. If this card is in your hand or GY: You can send 1 other ""Generaider"" card from your hand to the GY; Special Summon this card, but banish it when it leaves the field. If this card is Special Summoned: You can Special Summon 1 ""Generaider"" monster from your hand or GY, except ""Vala, Seidhr of the Generaider Bosses"".",2500,2500,9,FIRE
15367030,Gokibore,Normal Monster,"A large, spherical roach that attacks its enemies by rolling over them.",1200,1400,4,EARTH
57346400,Guard Dog,Flip Effect Monster,FLIP: Your opponent cannot Special Summon for the rest of this turn.,1500,500,3,EARTH
64379430,Doomsday Horror,Effect Monster,This card's ATK and DEF are equal to the number of banished DARK monsters x 300. If this card is destroyed and sent to the Graveyard: Return all banished DARK monsters to the Graveyards.,0,0,4,DARK
64753157,Charming Resort Staff,Effect Monster,"When an attack is declared involving a ""SPYRAL Super Agent"" you control and an opponent's face-up monster: You can change the ATK of the opponent's monster to 0. If this card is destroyed by battle or card effect: You can Special Summon 1 ""SPYRAL Super Agent"" from your Deck. If a ""SPYRAL Super Agent"" you control is destroyed by battle or sent to the Graveyard while this card is in your Graveyard: You can banish this card from your Graveyard; return 1 ""SPYRAL Super Agent"" from your Graveyard to your hand.",300,200,3,LIGHT
38179121,Double Evolution Pill,Spell Card,"Banish 1 Dinosaur monster and 1 non-Dinosaur monster from your hand and/or GY; Special Summon 1 Level 7 or higher Dinosaur monster from your hand or Deck, ignoring its Summoning conditions. You can only activate 1 ""Double Evolution Pill"" per turn.",,,,SPELL
